DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION DESCRIPTION,CRITICAL FLAG,GRADE,GRADE DATE,INSPECTION TYPE
REBAR,Manhattan,WEST   19 STREET,10011,6468632914,American,02/01/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/01/2020,Cycle Inspection / Initial Inspection
THE BLASKET,Manhattan,2 AVENUE,10022,2128887405,American,02/05/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/05/2020,Cycle Inspection / Initial Inspection
EL RANCHO BURRITOS,Manhattan,WEST   45 STREET,10036,2125814206,Tex-Mex,02/07/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/07/2020,Cycle Inspection / Initial Inspection
MORGAN CAFE,Manhattan,9 AVENUE,10001,2123304174,American,02/10/2020,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,02/10/2020,Cycle Inspection / Initial Inspection
LA POSADA MEXICAN FOOD,Manhattan,3 AVENUE,10016,2122134379,Mexican,02/10/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/10/2020,Cycle Inspection / Initial Inspection
CORNER BISTRO,Manhattan,WEST    4 STREET,10014,2122429502,American,02/12/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/12/2020,Cycle Inspection / Initial Inspection
ALTESI DOWNTOWN RISTORANTE,Manhattan,SPRING STREET,10012,2124311212,Italian,02/13/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/13/2020,Cycle Inspection / Initial Inspection
WOLFETONE'S IRISH PUB & KITCHEN,Manhattan,EAST   29 STREET,10016,2123901688,American,02/13/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/13/2020,Cycle Inspection / Initial Inspection
MARUZZELLA,Manhattan,FIRST AVENUE,10075,2129888877,Italian,02/19/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/19/2020,Cycle Inspection / Initial Inspection
CREPES ON COLUMBUS,Manhattan,COLUMBUS AVENUE,10025,2122220259,French,02/21/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/21/2020,Cycle Inspection / Initial Inspection
BROADHURST THEATER,Manhattan,44th Street,10036,2125867610,American,02/25/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/25/2020,Cycle Inspection / Initial Inspection
INSOMNIA COOKIES,Manhattan,EAST   53 STREET,10022,9293448675,American,02/27/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/27/2020,Cycle Inspection / Initial Inspection
THE RIVER CLUB,Manhattan,EAST   52 STREET,10022,2127510100,American,02/27/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/27/2020,Cycle Inspection / Initial Inspection
MADISON RESTAURANT,Manhattan,1 AVENUE,10022,2124210948,American,02/28/2020,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,02/28/2020,Cycle Inspection / Initial Inspection
AMATA,Manhattan,EAST   56 STREET,10022,2123080830,Italian,02/29/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/29/2020,Cycle Inspection / Initial Inspection
BEER RUN,Manhattan,WEST   19 STREET,10011,2127497500,American,03/02/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/02/2020,Cycle Inspection / Initial Inspection
THE HUNTERIAN,Manhattan,EAST   70 STREET,10021,9176137264,American,03/06/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/06/2020,Cycle Inspection / Initial Inspection
DIG INN,Manhattan,8 AVENUE,10019,2123352106,American,03/10/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/10/2020,Cycle Inspection / Initial Inspection
SAHARA EAST RESTAURANT,Manhattan,1 AVENUE,10009,2123539000,Tapas,03/12/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/12/2020,Cycle Inspection / Initial Inspection
TAGMO,Manhattan,FRONT STREET,10038,2122852253,Indian,03/13/2020,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/13/2020,Cycle Inspection / Initial Inspection
E NOODLE,Manhattan,CATHERINE STREET,10038,2122268919,Chinese,07/21/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/21/2021,Cycle Inspection / Initial Inspection
THE BLARNEY STONE PUB & RESTAURANT,Manhattan,8 AVENUE,10001,2125945100,American,07/21/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/21/2021,Cycle Inspection / Initial Inspection
NECTAR OF 82ND STREET,Manhattan,MADISON AVENUE,10028,2127720916,American,07/22/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/22/2021,Cycle Inspection / Initial Inspection
PAUL & JIMMY'S RESTAURANT,Manhattan,EAST   18 STREET,10003,2124759540,Italian,07/26/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/26/2021,Cycle Inspection / Initial Inspection
O'HARA'S,Manhattan,CEDAR STREET,10006,2122673032,American,07/26/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/26/2021,Cycle Inspection / Initial Inspection
LE BASKET,Manhattan,BROADWAY,10012,2124209772,American,07/27/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,07/27/2021,Cycle Inspection / Initial Inspection
DA RAFFAELE,Manhattan,1 AVENUE,10022,6468959849,Italian,07/27/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/27/2021,Cycle Inspection / Initial Inspection
SKYLIGHT DINER,Manhattan,WEST   34 STREET,10001,2122440395,American,07/28/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/28/2021,Cycle Inspection / Initial Inspection
PARADA 47 MEXICAN RESTAURANT,Manhattan,WEST   47 STREET,10036,2127573737,Mexican,07/30/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,07/30/2021,Cycle Inspection / Initial Inspection
JUNIOR'S RESTAURANT,Manhattan,BROADWAY,10036,2123022000,American,07/30/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/30/2021,Cycle Inspection / Initial Inspection
BENTON CAFE,Manhattan,EAST   45 STREET,10017,2129229788,Japanese,07/30/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/30/2021,Cycle Inspection / Initial Inspection
WASHINGTON SQUARE DINER,Manhattan,WEST    4 STREET,10012,2125339306,American,07/30/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,07/30/2021,Cycle Inspection / Initial Inspection
RESTUARANT NIPPON,Manhattan,EAST   52 STREET,10022,2126885941,Japanese,08/02/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,08/02/2021,Cycle Inspection / Initial Inspection
THE PORCH,Manhattan,W 40TH ST,10018,2128400324,American,08/02/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/02/2021,Cycle Inspection / Initial Inspection
LEX RESTAURANT,Manhattan,LEXINGTON AVENUE,10128,2128605903,Italian,08/03/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/03/2021,Cycle Inspection / Initial Inspection
GIARDINO D'ORO,Manhattan,GOLD STREET,10038,2125146400,Italian,08/03/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/03/2021,Cycle Inspection / Initial Inspection
CHELSEA RISTORANTE,Manhattan,8 AVENUE,10011,2129247786,Italian,08/04/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,08/04/2021,Cycle Inspection / Initial Inspection
MCSORLEY'S OLD ALE HOUSE,Manhattan,EAST    7 STREET,10003,2122542570,Irish,08/04/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/04/2021,Cycle Inspection / Initial Inspection
VANGUARD WINE BAR,Manhattan,1 AVENUE,10021,2122889463,French,08/05/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/05/2021,Cycle Inspection / Initial Inspection
PARNELL'S PUB,Manhattan,EAST   53 STREET,10022,2127531761,Irish,08/05/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/05/2021,Cycle Inspection / Initial Inspection
Flash Dancers,Manhattan,WEST   45 STREET,10036,2125824001,American,08/10/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/10/2021,Cycle Inspection / Initial Inspection
THE LIBERTY,Manhattan,WEST   35 STREET,10001,2129674000,Irish,08/16/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,08/16/2021,Cycle Inspection / Initial Inspection
GEMINI DINER,Manhattan,2 AVENUE,10016,2125322143,American,08/16/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/16/2021,Cycle Inspection / Initial Inspection
PRIMOLA RESTAURANT,Manhattan,SECOND AVENUE,10065,2127581775,Italian,08/17/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/17/2021,Cycle Inspection / Initial Inspection
ELEPHANT & CASTLE,Manhattan,GREENWICH AVENUE,10011,2122431400,American,08/17/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/17/2021,Cycle Inspection / Initial Inspection
REDFARM,Manhattan,BROADWAY,10024,2127249700,Asian/Asian Fusion,08/17/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/17/2021,Cycle Inspection / Initial Inspection
E.A.T. CAFE,Manhattan,MADISON AVENUE,10028,2127720022,American,08/19/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/19/2021,Cycle Inspection / Initial Inspection
EL NUEVO SANDY RESTAURANT,Manhattan,2 AVENUE,10035,2123488654,Latin American,08/19/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,08/19/2021,Cycle Inspection / Initial Inspection
ANTONUCCI,Manhattan,EAST 81 STREET,10028,2125705100,Italian,08/19/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/19/2021,Cycle Inspection / Initial Inspection
ALCALA RESTAURANT,Manhattan,EAST   44 STREET,10017,2123701866,Spanish,08/19/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/19/2021,Cycle Inspection / Initial Inspection
THE RED LION,Manhattan,BLEECKER STREET,10012,2122609797,American,08/23/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/23/2021,Cycle Inspection / Initial Inspection
BAWARCHI INDIAN CUISINE,Manhattan,MADISON AVENUE,10029,2122897700,Indian,08/23/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/23/2021,Cycle Inspection / Initial Inspection
MARGON RESTAURANT,Manhattan,WEST   46 STREET,10036,2123545013,Latin American,08/24/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,08/24/2021,Cycle Inspection / Initial Inspection
YOON HAEUNDAE GALBI,Manhattan,WEST   36 STREET,10018,2122445345,Korean,08/25/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,08/25/2021,Cycle Inspection / Initial Inspection
PANDA EXPRESS,Manhattan,3 AVENUE,10022,2123552821,Chinese,08/31/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,08/31/2021,Cycle Inspection / Initial Inspection
INTI N.Y.C.,Manhattan,10 AVENUE,10019,6465969216,Peruvian,09/01/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,09/01/2021,Cycle Inspection / Initial Inspection
SAVORY,Manhattan,WEST   39 STREET,10018,2127576100,American,09/01/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,09/01/2021,Cycle Inspection / Initial Inspection
PROONG NOODLE BAR,Manhattan,1 AVENUE,10010,2124751564,Japanese,09/07/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,09/07/2021,Cycle Inspection / Initial Inspection
LE FRENCH DINER,Manhattan,ORCHARD STREET,10002,2127771577,French,09/08/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,09/08/2021,Cycle Inspection / Initial Inspection
ZHONG HUA RESTAURANT,Manhattan,WEST  100 STREET,10025,2129323377,Chinese,11/04/2021,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,11/04/2021,Cycle Inspection / Initial Inspection
EL MIL SABORES,Manhattan,9 AVENUE,10036,2124896677,Tex-Mex,11/29/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,11/29/2021,Cycle Inspection / Initial Inspection
DOS CAMINOS SOHO,Manhattan,WEST BROADWAY,10012,2122774300,Mexican,12/10/2021,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,12/10/2021,Cycle Inspection / Initial Inspection
DOC HOLIDAYS,Manhattan,AVENUE A,10009,2129790312,American,01/05/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/05/2022,Cycle Inspection / Initial Inspection
PETER MCMANUS CAFE,Manhattan,7 AVENUE,10011,9172615504,Irish,01/06/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/06/2022,Cycle Inspection / Initial Inspection
THE CENTURY ASSOCIATION,Manhattan,WEST   43 STREET,10036,2129440090,American,01/06/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/06/2022,Cycle Inspection / Initial Inspection
MAYA,Manhattan,1 AVENUE,10065,2125851818,Mexican,01/11/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/11/2022,Cycle Inspection / Initial Inspection
TRATTORIA IL GUSTO,Manhattan,COLUMBUS AVENUE,10024,2125797970,Italian,01/11/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/11/2022,Cycle Inspection / Initial Inspection
TITO MURPHY'S,Manhattan,WEST   46 STREET,10036,2122452030,American,01/11/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/11/2022,Cycle Inspection / Initial Inspection
JOSIE WOOD'S PUB,Manhattan,WAVERLY PLACE,10003,2122289909,American,01/13/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/13/2022,Cycle Inspection / Initial Inspection
PJ CARNEY'S,Manhattan,7 AVENUE,10019,2126640056,Irish,01/13/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/13/2022,Cycle Inspection / Initial Inspection
BROOME STREET BAR,Manhattan,WEST BROADWAY,10013,2129252086,American,01/13/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/13/2022,Cycle Inspection / Initial Inspection
TAVERN ON THE GREEN,Manhattan,67th Street and Central Park West,,2128778685,American,01/19/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/19/2022,Cycle Inspection / Initial Inspection
SWIFT HIBERNIAN LOUNGE,Manhattan,EAST    4 STREET,10003,2122603600,Irish,01/19/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/19/2022,Cycle Inspection / Initial Inspection
11TH ST BAR,Manhattan,EAST   11 STREET,10009,2129823929,American,01/20/2022,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,01/20/2022,Cycle Inspection / Initial Inspection
11TH ST BAR,Manhattan,EAST   11 STREET,10009,2129823929,American,01/20/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/20/2022,Cycle Inspection / Initial Inspection
SABA'S PIZZA,Manhattan,AMSTERDAM AVENUE,10024,2127871118,Jewish/Kosher,01/21/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/21/2022,Cycle Inspection / Initial Inspection
MERRIWEATHER,Manhattan,HUDSON STREET,10014,3472165960,Australian,01/26/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,01/26/2022,Cycle Inspection / Initial Inspection
INSOMNIA COOKIES,Manhattan,AMSTERDAM AVENUE,10024,2153831319,American,02/03/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/03/2022,Cycle Inspection / Initial Inspection
THE MALT HOUSE,Manhattan,THOMPSON STREET,10012,2122287701,American,02/08/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/08/2022,Cycle Inspection / Initial Inspection
BARBARESCO,Manhattan,LEXINGTON AVENUE,10065,2125172288,Italian,02/08/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/08/2022,Cycle Inspection / Initial Inspection
MADAME TUSSAUD'S,Manhattan,WEST   42 STREET,10036,2125129600,American,02/08/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/08/2022,Cycle Inspection / Initial Inspection
REGENCY WHIST CLUB,Manhattan,EAST   67 STREET,10065,2127341734,American,02/10/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/10/2022,Cycle Inspection / Initial Inspection
FITZGERALD'S PUB,Manhattan,THIRD AVENUE,10010,2126796931,American,02/11/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/11/2022,Cycle Inspection / Initial Inspection
MOE'S CAFE,Manhattan,EAST   23 STREET,10010,2125922167,American,02/11/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/11/2022,Cycle Inspection / Initial Inspection
CORK WINE BAR,Manhattan,THOMPSON STREET,10012,6466698169,French,02/14/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/14/2022,Cycle Inspection / Initial Inspection
SANT AMBROEUS,Manhattan,MADISON AVENUE,10075,2125702211,Italian,02/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/15/2022,Cycle Inspection / Initial Inspection
KARAOKE DUET 35,Manhattan,WEST   35 STREET,,6464730826,American,02/16/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/16/2022,Cycle Inspection / Initial Inspection
FRIEND OF A FARMER,Manhattan,IRVING PLACE,10003,2124772188,American,02/16/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/16/2022,Cycle Inspection / Initial Inspection
PERRINE,Manhattan,EAST   61 STREET,10065,2129408195,American,02/16/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/16/2022,Cycle Inspection / Initial Inspection
NORTH SQUARE,Manhattan,WAVERLY PLACE,10011,2122541200,American,02/17/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/17/2022,Cycle Inspection / Initial Inspection
CLUB 101,Manhattan,PARK AVENUE,10178,2128180263,American,02/17/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/17/2022,Cycle Inspection / Initial Inspection
ZORALIE RESTAURANT,Manhattan,WEST   51 STREET,10019,6465903751,Latin American,02/17/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/17/2022,Cycle Inspection / Initial Inspection
LA LANTERNA DI VITTORIO,Manhattan,MACDOUGAL STREET,10012,9176393236,Italian,02/17/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/17/2022,Cycle Inspection / Initial Inspection
BA'AL CAFE AND FALAFEL,Manhattan,SULLIVAN STREET,10012,9176099779,Mediterranean,02/22/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,02/22/2022,Cycle Inspection / Initial Inspection
PERIYALI,Manhattan,WEST   20 STREET,10011,2124637890,Greek,03/02/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/02/2022,Cycle Inspection / Initial Inspection
GRIFFIS FACULTY CLUB,Manhattan,EAST   68 STREET,10065,6469623939,American,03/07/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/07/2022,Cycle Inspection / Initial Inspection
TOM AND JERRY BAR,Manhattan,ELIZABETH STREET,10012,2122605045,American,03/08/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/08/2022,Cycle Inspection / Initial Inspection
LUSARDI'S RESTAURANT,Manhattan,SECOND AVENUE,10075,2122492020,Italian,03/09/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/09/2022,Cycle Inspection / Initial Inspection
DOUBLES CLUB,Manhattan,5 AVENUE,10022,2127519595,American,03/09/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/09/2022,Cycle Inspection / Initial Inspection
SERAFINA FABULOUS PIZZA,Manhattan,MADISON AVENUE,10075,2127342676,Italian,03/10/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/10/2022,Cycle Inspection / Initial Inspection
ZIA MARIA LITTLE ITALY,Manhattan,MULBERRY STREET,10013,6465907873,Italian,03/10/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/10/2022,Cycle Inspection / Initial Inspection
PANDA EXPRESS,Manhattan,1 AVENUE,10065,2122881323,Chinese,03/10/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/10/2022,Cycle Inspection / Initial Inspection
NEW OCEAN,Manhattan,LENOX AVENUE,10027,2122899293,Chinese,03/10/2022,Violations were cited in the following area(s).,Live roaches present in facility's food and/or non-food areas.,Critical,A,03/10/2022,Cycle Inspection / Initial Inspection
RED STAR CHINESE RESTAURANT,Manhattan,ADAM CLAYTON POWELL JR BOULEVARD,,6463355592,Chinese,03/14/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/14/2022,Cycle Inspection / Initial Inspection
NEW YORK COMEDY CLUB,Manhattan,EAST   24 STREET,10010,2126965233,American,03/16/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/16/2022,Cycle Inspection / Initial Inspection
GOSSIPS,Manhattan,9 AVENUE,10019,2122652720,American,03/16/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/16/2022,Cycle Inspection / Initial Inspection
MIRAMAR,Manhattan,SOUTH END AVENUE,10280,2129643000,Mediterranean,03/16/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/16/2022,Cycle Inspection / Initial Inspection
SOCIETE GENERALE CAFETERIA,Manhattan,PARK AVENUE,10167,2122787999,American,03/17/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/17/2022,Cycle Inspection / Initial Inspection
DOUGHNUTTERY,Manhattan,WEST   15 STREET,10011,2126334359,American,03/21/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/21/2022,Cycle Inspection / Initial Inspection
LE RIVAGE,Manhattan,WEST   46 STREET,10036,2127657374,French,03/22/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/22/2022,Cycle Inspection / Initial Inspection
SUTTON BAR ROOM,Manhattan,1 AVENUE,10022,2129809850,American,03/22/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/22/2022,Cycle Inspection / Initial Inspection
ART BAR,Manhattan,8 AVENUE,10014,2127270244,American,03/24/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/24/2022,Cycle Inspection / Initial Inspection
BLUE RUIN,Manhattan,9 AVENUE,10018,9173467043,American,03/28/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/28/2022,Cycle Inspection / Initial Inspection
BENTO NOUVEAU,Manhattan,BROADWAY,10004,2127470994,Japanese,03/28/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/28/2022,Cycle Inspection / Initial Inspection
LA PRECIOSA CHINA RESTAURANT,Manhattan,EAST  116 STREET,10029,2123693921,Chinese,03/28/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/28/2022,Cycle Inspection / Initial Inspection
REGIONAL,Manhattan,BROADWAY,10025,2126661915,Italian,03/30/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/30/2022,Cycle Inspection / Initial Inspection
DALTON'S BAR & GRILL,Manhattan,9 AVENUE,10036,2122455511,American,03/30/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/30/2022,Cycle Inspection / Initial Inspection
HARRY'S ITALIAN,Manhattan,GOLD STREET,10038,2127470797,Italian,03/31/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/31/2022,Cycle Inspection / Initial Inspection
MARKET TABLE,Manhattan,CARMINE STREET,10014,2122552100,American,03/31/2022,Violations were cited in the following area(s).,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,A,03/31/2022,Cycle Inspection / Initial Inspection
